first_name,last_name,email ,role
Dina Marie,Martin,dina@gmail.com,admin
Al,Martin,al@gmail.com,admin
JC,Best,jc@gmail.com,comedian
Sheba,Mason,sheba@gmail.com,comedian
Al ,Martin,al@gmail.com,comedian
Dave ,Attell,dave_attell@gmail.com,comedian
Keith,Robinson,keith_robinson@gmail.com,comedian
Laurie,Kilmartin,laurie_kilmartin@gmail.com,comedian
Kurt,Metzger,kurt_metzger@gmail.com,comedian
Sherrod,Small,sherrod_small@gmail.com,comedian
Yamaneika,Saunders,yamaneika@gmail.com,comedian
Andrew,Schulz,andrew_shulz@gmail.com,comedian
Gina,Yashere,gina_yashere@gmail.com,comedian
Ardie,Fuqua,ardie_fuqua@gmail.com,comedian
TJ,Miller,tj_miller@gmail.com,comedian
Chuck,Nice,chuck_nice@gmail.com,comedian
Sam,Morril,sam_morril@gmail.com,comedian
Joe,List,joe_list@gmail.com,comedian
Carmen,Lynch,carmen_lynch@gmail.com,comedian
Joe,Machi,joe_machi@gmail.com,comedian
Dante,Nero,dante@gmail.com,comedian
Luis J,Gomez,luis_gomez@gmail.com,comedian
Ari,Shaffir,ari_shaffir@gmai.com,comedian
Adam,Ray,adam_ray@gmail.com,comedian
Jessica,Kirson,jessica_kirson@gmail.com,comedian
Greer,Barnes,greer_barnes@gmail.com,comedian
Harrison,Greenbaum,harrison_greenbaum@gmail.com,comedian
Seaton,Smith,seaton_smith@gmail.com,comedian
